# GAS: PFC-218
# UNITS: Tg CO2-eq
# GWP100yr: 8900.0
 Year, Invent2021, Invent_std,      InTEM,  InTEM_std
 1990,      0.003,      0.000,           ,           
 1991,      0.003,      0.000,           ,           
 1992,      0.003,      0.000,           ,           
 1993,      0.006,      0.000,           ,           
 1994,      0.010,      0.000,           ,           
 1995,      0.014,      0.001,           ,           
 1996,      0.016,      0.001,           ,           
 1997,      0.016,      0.001,           ,           
 1998,      0.029,      0.002,           ,           
 1999,      0.016,      0.001,           ,           
 2000,      0.018,      0.001,           ,           
 2001,      0.055,      0.004,           ,           
 2002,      0.056,      0.004,           ,           
 2003,      0.058,      0.005,           ,           
 2004,      0.092,      0.008,           ,           
 2005,      0.112,      0.010,      0.192,      0.046
 2006,      0.093,      0.009,      0.163,      0.039
 2007,      0.057,      0.006,      0.149,      0.038
 2008,      0.014,      0.001,      0.121,      0.041
 2009,      0.014,      0.001,      0.116,      0.044
 2010,      0.041,      0.005,      0.108,      0.040
 2011,      0.098,      0.011,      0.112,      0.031
 2012,      0.100,      0.012,      0.119,      0.026
 2013,      0.148,      0.018,      0.117,      0.035
 2014,      0.077,      0.010,      0.128,      0.042
 2015,      0.132,      0.018,      0.142,      0.039
 2016,      0.140,      0.019,      0.070,      0.051
 2017,      0.239,      0.034,      0.089,      0.045
 2018,      0.041,      0.006,      0.110,      0.039
 2019,      0.101,      0.015,      0.084,      0.028
 2020,           ,           ,      0.098,      0.030
 2021,           ,           ,      0.123,      0.041
