# GAS: HFC-32
# UNITS: Tg CO2-eq
# GWP100yr: 705.0
 Year, Invent2021, Invent_std,      InTEM,  InTEM_std
 1990,      0.000,      0.000,           ,           
 1991,      0.000,      0.000,           ,           
 1992,      0.000,      0.000,           ,           
 1993,      0.000,      0.000,           ,           
 1994,      0.000,      0.000,           ,           
 1995,      0.000,      0.000,           ,           
 1996,      0.001,      0.000,           ,           
 1997,      0.001,      0.000,           ,           
 1998,      0.002,      0.000,           ,           
 1999,      0.004,      0.000,           ,           
 2000,      0.005,      0.000,           ,           
 2001,      0.010,      0.001,           ,           
 2002,      0.021,      0.001,           ,           
 2003,      0.032,      0.002,           ,           
 2004,      0.047,      0.003,           ,           
 2005,      0.064,      0.004,      0.066,      0.011
 2006,      0.080,      0.005,      0.084,      0.013
 2007,      0.100,      0.006,      0.116,      0.015
 2008,      0.121,      0.007,      0.138,      0.015
 2009,      0.140,      0.008,      0.143,      0.017
 2010,      0.163,      0.009,      0.153,      0.020
 2011,      0.185,      0.010,      0.170,      0.021
 2012,      0.211,      0.011,      0.199,      0.022
 2013,      0.238,      0.013,      0.251,      0.041
 2014,      0.259,      0.013,      0.172,      0.034
 2015,      0.277,      0.014,      0.236,      0.032
 2016,      0.304,      0.015,      0.226,      0.035
 2017,      0.333,      0.016,      0.301,      0.051
 2018,      0.356,      0.017,      0.375,      0.071
 2019,      0.376,      0.018,      0.268,      0.040
 2020,           ,           ,      0.258,      0.032
 2021,           ,           ,      0.302,      0.045
