# GAS: PFC-116
# UNITS: Tg CO2-eq
# GWP100yr: 11100.0
 Year, Invent2021, Invent_std,      InTEM,  InTEM_std
 1990,      0.297,      0.007,           ,           
 1991,      0.260,      0.008,           ,           
 1992,      0.151,      0.005,           ,           
 1993,      0.141,      0.005,           ,           
 1994,      0.147,      0.006,           ,           
 1995,      0.150,      0.007,           ,           
 1996,      0.160,      0.008,           ,           
 1997,      0.159,      0.009,           ,           
 1998,      0.144,      0.009,           ,           
 1999,      0.155,      0.010,           ,           
 2000,      0.191,      0.013,           ,           
 2001,      0.132,      0.010,           ,           
 2002,      0.118,      0.009,           ,           
 2003,      0.110,      0.009,           ,           
 2004,      0.113,      0.010,           ,           
 2005,      0.100,      0.009,      0.068,      0.078
 2006,      0.099,      0.009,      0.133,      0.082
 2007,      0.084,      0.008,      0.169,      0.089
 2008,      0.081,      0.008,      0.142,      0.087
 2009,      0.068,      0.007,      0.121,      0.084
 2010,      0.079,      0.009,      0.084,      0.075
 2011,      0.095,      0.011,      0.059,      0.060
 2012,      0.072,      0.009,      0.082,      0.048
 2013,      0.083,      0.010,      0.081,      0.069
 2014,      0.085,      0.011,      0.070,      0.054
 2015,      0.094,      0.013,      0.041,      0.056
 2016,      0.102,      0.014,      0.052,      0.082
 2017,      0.122,      0.017,      0.062,      0.094
 2018,      0.103,      0.015,      0.059,      0.082
 2019,      0.119,      0.018,      0.043,      0.038
 2020,           ,           ,      0.030,      0.040
 2021,           ,           ,      0.077,      0.067
