# GAS: HFC-143a
# UNITS: Tg CO2-eq
# GWP100yr: 5080.0
 Year, Invent2021, Invent_std,      InTEM,  InTEM_std
 1990,      0.000,      0.000,           ,           
 1991,      0.000,      0.000,           ,           
 1992,      0.001,      0.000,           ,           
 1993,      0.002,      0.000,           ,           
 1994,      0.011,      0.001,           ,           
 1995,      0.055,      0.004,           ,           
 1996,      0.152,      0.011,           ,           
 1997,      0.310,      0.021,           ,           
 1998,      0.538,      0.036,           ,           
 1999,      0.813,      0.054,           ,           
 2000,      1.072,      0.070,           ,           
 2001,      1.311,      0.084,           ,           
 2002,      1.529,      0.097,           ,           
 2003,      1.758,      0.110,           ,           
 2004,      1.981,      0.122,           ,           
 2005,      2.210,      0.134,      2.337,      0.252
 2006,      2.443,      0.145,      2.728,      0.290
 2007,      2.687,      0.157,      3.165,      0.347
 2008,      2.901,      0.167,      3.251,      0.359
 2009,      3.099,      0.175,      3.211,      0.351
 2010,      3.261,      0.182,      3.317,      0.350
 2011,      3.393,      0.186,      3.444,      0.333
 2012,      3.475,      0.187,      3.470,      0.306
 2013,      3.475,      0.183,      3.444,      0.505
 2014,      3.388,      0.176,      2.911,      0.371
 2015,      3.246,      0.165,      3.023,      0.355
 2016,      3.109,      0.155,      2.850,      0.424
 2017,      2.967,      0.145,      2.824,      0.432
 2018,      2.784,      0.134,      2.205,      0.364
 2019,      2.576,      0.121,      1.488,      0.233
 2020,           ,           ,      1.234,      0.205
 2021,           ,           ,      1.392,      0.246
