# GAS: gasname
# UNITS: Tg CO2-eq
# GWP100yr:9540.0
Year ,Invent2023,Invent_Std,     Intem, InTEM_Std
 1990,    0.0000,    0.0000,          ,          
 1991,    0.0000,    0.0000,          ,          
 1992,    0.0000,    0.0000,          ,          
 1993,    0.0000,    0.0000,          ,          
 1994,    0.0000,    0.0000,          ,          
 1995,    0.0000,    0.0000,          ,          
 1996,    0.0000,    0.0000,          ,          
 1997,    0.0000,    0.0000,          ,          
 1998,    0.0000,    0.0000,          ,          
 1999,    0.0000,    0.0000,          ,          
 2000,    0.0000,    0.0000,          ,          
 2001,    0.0000,    0.0000,          ,          
 2002,    0.0000,    0.0000,          ,          
 2003,    0.0000,    0.0000,          ,          
 2004,    0.0000,    0.0000,          ,          
 2005,    0.0000,    0.0000,          ,          
 2006,    0.0000,    0.0000,          ,          
 2007,    0.0000,    0.0000,          ,          
 2008,    0.0000,    0.0000,          ,          
 2009,    0.0000,    0.0000,          ,          
 2010,    0.0000,    0.0000,          ,          
 2011,    0.0000,    0.0000,    0.0448,    0.0439
 2012,    0.0000,    0.0000,    0.0706,    0.0353
 2013,    0.0000,    0.0000,    0.0763,    0.0410
 2014,    0.0000,    0.0000,    0.0391,    0.0343
 2015,    0.0000,    0.0000,    0.0343,    0.0391
 2016,    0.0000,    0.0000,    0.0515,    0.0506
 2017,    0.0000,    0.0000,    0.1097,    0.0696
 2018,    0.0000,    0.0000,    0.0687,    0.0506
 2019,    0.0000,    0.0000,    0.0887,    0.0305
 2020,    0.0000,    0.0000,    0.0448,    0.0363
 2021,    0.0000,    0.0000,    0.0324,    0.0277
 2022,          ,          ,    0.0668,    0.0429
 2023,          ,          ,    0.0162,    0.0458
