# GAS: gasname
# UNITS: Tg CO2-eq
# GWP100yr:3450.0
Year ,Invent2023,Invent_Std,     Intem, InTEM_Std
 1990,    0.0001,    0.0000,          ,          
 1991,    0.0001,    0.0000,          ,          
 1992,    0.0001,    0.0000,          ,          
 1993,    0.0003,    0.0000,          ,          
 1994,    0.0042,    0.0003,          ,          
 1995,    0.0235,    0.0017,          ,          
 1996,    0.0687,    0.0048,          ,          
 1997,    0.1483,    0.0100,          ,          
 1998,    0.2622,    0.0176,          ,          
 1999,    0.4140,    0.0276,    0.9315,    0.1276
 2000,    0.5451,    0.0359,    0.8625,    0.1552
 2001,    0.7590,    0.0483,    1.0005,    0.1759
 2002,    0.8970,    0.0587,    1.2420,    0.1656
 2003,    1.1385,    0.0725,    1.5180,    0.1759
 2004,    1.3455,    0.0828,    1.5525,    0.1863
 2005,    1.5870,    0.0966,    1.5525,    0.1828
 2006,    2.0355,    0.1242,    1.8285,    0.1898
 2007,    2.1735,    0.1311,    2.1735,    0.2139
 2008,    2.4150,    0.1415,    2.3460,    0.2035
 2009,    2.6220,    0.1518,    2.4150,    0.1863
 2010,    2.9325,    0.1691,    2.7600,    0.2243
 2011,    3.2430,    0.1828,    3.1740,    0.2691
 2012,    3.5535,    0.1967,    3.2085,    0.2587
 2013,    3.7950,    0.2070,    3.3810,    0.3485
 2014,    3.9330,    0.2104,    3.4500,    0.3450
 2015,    4.0020,    0.2104,    3.1740,    0.3243
 2016,    4.1400,    0.2139,    3.6915,    0.3588
 2017,    4.2090,    0.2139,    3.4845,    0.4209
 2018,    4.2090,    0.2070,    2.8980,    0.3140
 2019,    4.1055,    0.2001,    2.5875,    0.3105
 2020,    3.9330,    0.1898,    2.4840,    0.2622
 2021,    3.7950,    0.1794,    2.6220,    0.2553
 2022,          ,          ,    2.4840,    0.3174
 2023,          ,          ,    2.8290,    0.4520
