# GAS: gasname
# UNITS: Tg CO2-eq
# GWP100yr:8900.0
Year ,Invent2023,Invent_Std,     Intem, InTEM_Std
 1990,    0.0027,    0.0001,          ,          
 1991,    0.0027,    0.0001,          ,          
 1992,    0.0027,    0.0001,          ,          
 1993,    0.0062,    0.0003,          ,          
 1994,    0.0107,    0.0004,          ,          
 1995,    0.0142,    0.0006,          ,          
 1996,    0.0160,    0.0008,          ,          
 1997,    0.0169,    0.0009,          ,          
 1998,    0.0294,    0.0017,          ,          
 1999,    0.0160,    0.0010,          ,          
 2000,    0.0178,    0.0012,          ,          
 2001,    0.0552,    0.0038,          ,          
 2002,    0.0561,    0.0042,          ,          
 2003,    0.0578,    0.0045,          ,          
 2004,    0.0926,    0.0076,          ,          
 2005,    0.1130,    0.0097,    0.2323,    0.0721
 2006,    0.0935,    0.0084,    0.2118,    0.0623
 2007,    0.0578,    0.0054,    0.1718,    0.0570
 2008,    0.0151,    0.0015,    0.1202,    0.0498
 2009,    0.0151,    0.0016,    0.1273,    0.0436
 2010,    0.0427,    0.0045,    0.1344,    0.0392
 2011,    0.0997,    0.0109,    0.1353,    0.0311
 2012,    0.1015,    0.0116,    0.1379,    0.0231
 2013,    0.1495,    0.0177,    0.1460,    0.0365
 2014,    0.0783,    0.0096,    0.1344,    0.0303
 2015,    0.1326,    0.0167,    0.1486,    0.0320
 2016,    0.1397,    0.0183,    0.0721,    0.0383
 2017,    0.2385,    0.0321,    0.1202,    0.0383
 2018,    0.0409,    0.0056,    0.1059,    0.0320
 2019,    0.0997,    0.0142,    0.1219,    0.0338
 2020,    0.0641,    0.0093,    0.0872,    0.0249
 2021,    0.1006,    0.0152,    0.1833,    0.0267
 2022,          ,          ,    0.1878,    0.0329
 2023,          ,          ,    0.2198,    0.0659
