# GAS: gasname
# UNITS: Tg CO2-eq
# GWP100yr:705.0
Year ,Invent2023,Invent_Std,     Intem, InTEM_Std
 1990,    0.0000,    0.0000,          ,          
 1991,    0.0000,    0.0000,          ,          
 1992,    0.0000,    0.0000,          ,          
 1993,    0.0000,    0.0000,          ,          
 1994,    0.0002,    0.0000,          ,          
 1995,    0.0003,    0.0000,          ,          
 1996,    0.0005,    0.0000,          ,          
 1997,    0.0008,    0.0001,          ,          
 1998,    0.0013,    0.0001,          ,          
 1999,    0.0033,    0.0002,          ,          
 2000,    0.0039,    0.0003,          ,          
 2001,    0.0092,    0.0006,          ,          
 2002,    0.0219,    0.0014,          ,          
 2003,    0.0352,    0.0022,          ,          
 2004,    0.0522,    0.0032,          ,          
 2005,    0.0712,    0.0044,    0.0642,    0.0103
 2006,    0.0909,    0.0055,    0.0818,    0.0128
 2007,    0.1135,    0.0068,    0.1043,    0.0157
 2008,    0.1382,    0.0081,    0.1213,    0.0173
 2009,    0.1622,    0.0092,    0.1325,    0.0183
 2010,    0.1904,    0.0106,    0.1480,    0.0211
 2011,    0.2186,    0.0120,    0.1692,    0.0226
 2012,    0.2467,    0.0141,    0.1904,    0.0204
 2013,    0.2820,    0.0155,    0.2326,    0.0296
 2014,    0.3031,    0.0162,    0.2326,    0.0282
 2015,    0.3313,    0.0176,    0.2256,    0.0275
 2016,    0.3666,    0.0190,    0.2679,    0.0303
 2017,    0.3948,    0.0197,    0.2890,    0.0388
 2018,    0.4230,    0.0211,    0.3102,    0.0493
 2019,    0.4441,    0.0219,    0.2679,    0.0345
 2020,    0.4653,    0.0219,    0.2679,    0.0289
 2021,    0.4794,    0.0226,    0.3384,    0.0352
 2022,          ,          ,    0.3454,    0.0437
 2023,          ,          ,    0.4441,    0.0684
