# GAS: gasname
# UNITS: Tg CO2-eq
# GWP100yr:5080.0
Year ,Invent2023,Invent_Std,     Intem, InTEM_Std
 1990,    0.0003,    0.0000,          ,          
 1991,    0.0003,    0.0000,          ,          
 1992,    0.0003,    0.0000,          ,          
 1993,    0.0007,    0.0001,          ,          
 1994,    0.0080,    0.0006,          ,          
 1995,    0.0508,    0.0036,          ,          
 1996,    0.1473,    0.0102,          ,          
 1997,    0.3048,    0.0208,          ,          
 1998,    0.5283,    0.0356,          ,          
 1999,    0.8026,    0.0533,          ,          
 2000,    1.0668,    0.0711,          ,          
 2001,    1.3208,    0.0864,          ,          
 2002,    1.5240,    0.0965,          ,          
 2003,    1.7272,    0.1118,          ,          
 2004,    1.9812,    0.1219,          ,          
 2005,    2.1844,    0.1372,    2.3368,    0.2794
 2006,    2.4384,    0.1473,    2.6924,    0.3251
 2007,    2.6924,    0.1626,    2.8956,    0.3810
 2008,    2.8956,    0.1727,    2.9464,    0.3962
 2009,    3.0988,    0.1778,    3.0480,    0.3861
 2010,    3.3020,    0.1880,    3.3020,    0.3861
 2011,    3.4036,    0.1930,    3.4544,    0.3658
 2012,    3.5052,    0.1930,    3.3020,    0.2997
 2013,    3.5052,    0.1880,    3.3020,    0.4013
 2014,    3.4036,    0.1829,    3.2004,    0.3302
 2015,    3.2512,    0.1727,    3.0988,    0.3302
 2016,    3.1496,    0.1626,    3.1496,    0.4216
 2017,    2.9972,    0.1524,    2.5908,    0.3505
 2018,    2.7940,    0.1372,    2.0320,    0.2743
 2019,    2.5908,    0.1270,    1.4732,    0.2083
 2020,    2.3368,    0.1118,    1.3716,    0.1880
 2021,    2.0828,    0.0965,    1.4224,    0.1727
 2022,          ,          ,    1.2700,    0.2235
 2023,          ,          ,    1.4732,    0.2642
