# GAS: gasname
# UNITS: Tg CO2-eq
# GWP100yr:1360.0
Year ,Invent2023,Invent_Std,     Intem, InTEM_Std
 1990,    0.0112,    0.0008,          ,          
 1991,    0.0299,    0.0022,          ,          
 1992,    0.0530,    0.0039,          ,          
 1993,    0.2244,    0.0163,          ,          
 1994,    0.5032,    0.0354,          ,          
 1995,    0.7888,    0.0558,    0.7752,    0.1877
 1996,    1.1152,    0.0775,    1.1968,    0.2543
 1997,    1.4416,    0.0993,    1.2104,    0.3114
 1998,    1.8496,    0.1251,    1.4416,    0.2761
 1999,    2.2576,    0.1510,    1.5504,    0.2258
 2000,    2.6520,    0.1754,    1.5912,    0.2421
 2001,    3.0872,    0.2013,    1.9176,    0.2543
 2002,    3.3592,    0.2162,    2.3256,    0.2489
 2003,    3.6448,    0.2312,    2.7744,    0.2788
 2004,    3.9032,    0.2434,    2.8424,    0.3006
 2005,    4.2568,    0.2611,    2.6112,    0.2720
 2006,    4.5560,    0.2761,    2.8016,    0.2570
 2007,    4.7192,    0.2815,    3.3184,    0.3006
 2008,    4.8416,    0.2842,    3.6176,    0.3006
 2009,    4.9776,    0.2883,    3.8896,    0.2666
 2010,    5.1000,    0.2897,    4.2432,    0.3060
 2011,    5.2496,    0.2951,    4.3384,    0.3590
 2012,    5.4536,    0.3006,    4.1208,    0.3278
 2013,    5.6032,    0.3046,    4.2704,    0.4230
 2014,    5.6848,    0.3033,    4.3792,    0.3427
 2015,    5.6848,    0.2978,    4.0800,    0.3386
 2016,    5.6576,    0.2910,    4.7872,    0.4325
 2017,    5.5896,    0.2829,    4.3520,    0.4406
 2018,    5.4264,    0.2693,    4.3656,    0.3767
 2019,    5.0864,    0.2475,    3.2912,    0.3237
 2020,    4.6240,    0.2217,    3.2776,    0.3046
 2021,    4.3112,    0.2026,    3.4136,    0.2802
 2022,          ,          ,    3.0464,    0.3223
 2023,          ,          ,    3.3048,    0.4692
