# GAS: gasname
# UNITS: Tg CO2-eq
# GWP100yr:6630.0
Year ,Invent2023,Invent_Std,     Intem, InTEM_Std
 1990,    1.1689,    0.0292,          ,          
 1991,    0.9653,    0.0280,          ,          
 1992,    0.4482,    0.0149,          ,          
 1993,    0.3567,    0.0133,          ,          
 1994,    0.3295,    0.0136,          ,          
 1995,    0.2838,    0.0129,          ,          
 1996,    0.2864,    0.0141,          ,          
 1997,    0.2374,    0.0127,          ,          
 1998,    0.2334,    0.0134,          ,          
 1999,    0.2208,    0.0136,          ,          
 2000,    0.2877,    0.0189,          ,          
 2001,    0.2301,    0.0160,          ,          
 2002,    0.1724,    0.0127,          ,          
 2003,    0.1386,    0.0108,          ,          
 2004,    0.1777,    0.0145,          ,          
 2005,    0.1313,    0.0113,    0.3156,    0.1638
 2006,    0.1518,    0.0137,    0.2572,    0.1512
 2007,    0.1107,    0.0104,    0.2466,    0.1346
 2008,    0.1333,    0.0131,    0.2632,    0.1240
 2009,    0.0849,    0.0086,    0.2420,    0.1081
 2010,    0.1299,    0.0139,    0.2029,    0.0849
 2011,    0.1764,    0.0195,    0.1591,    0.0623
 2012,    0.0484,    0.0055,    0.1386,    0.0477
 2013,    0.0457,    0.0054,    0.1856,    0.0968
 2014,    0.0670,    0.0082,    0.1008,    0.0981
 2015,    0.0477,    0.0060,    0.1929,    0.1014
 2016,    0.0497,    0.0065,    0.0782,    0.1412
 2017,    0.0570,    0.0077,    0.0305,    0.1174
 2018,    0.0371,    0.0051,    0.1551,    0.1114
 2019,    0.0371,    0.0054,    0.1127,    0.0716
 2020,    0.0318,    0.0047,    0.0882,    0.0590
 2021,    0.0338,    0.0051,    0.1180,    0.0690
 2022,          ,          ,    0.1817,    0.1558
 2023,          ,          ,    0.1604,    0.2579
